¿Cuántos años cumplidos tienes? (anota el número);¿Qué son para ti los Derechos Humanos?;¿Cuáles derechos conoces?;¿Qué significa ser una persona?
9.0;no pegar a las mujeres;jugar;vivo
13.0;eso una imagan;respatar e las mujer;no
9.0;no pegarle a las mujeres;que todos jueguen tranquilos;son seres vivos
9.0;no pegar a las mujeres;que todos jueguen tranquilos;son seres vivos
9.0;si te pega tu papa puedes llevar para los derechos humanos;ni uno;no sé
10.0;tener caqui en derechos;respetar ala mujer;pasarla bien
16.0;Son necesidades a las que todas las personas debemos tener acceso;libertad, educación, vivienda, familia;Un ser humano con derechos y responsabilidades
9.0;son como cosas que tienes que tener;la educacion, salut, familia, amor, alimento, ogar;Un ser umano con respeto y amor
13.0;Las leyes que te protegen;la libertad tener voz y voto;Tener derechos
15.0;los derechos que tenemos por igual las personas;al estudio, servicios básicos, seguridad, empleos, libertad etc.;-
14.0;acceso a acciones para el pais;elde las mujeres;Ser un ser vivo echo para ser util
15.0;Pues con ellos podemos tener un poco de más libertad a la hora de hacer cosas.;Derecho a estudiar, a jugar etc;alguien que puede razonar y pensar por si mismo.
15.0;algo que nos identifica y ayuda como persona;a la privacidad, salud, a la vida digna, libre expresión;formar parte de una sociedad
15.0;lo que nos ayuda a reconocer nuestros valores;familia, nombre, vivienda, vestimenta.;ser alguien en la vida
16.0;Lo que tenemos las personas desde el momento que estamos en el vientre de nuestra mamá;vida, salud, hogar, familia, respeto;Significa ser alguin respetad@ por todos
17.0;Son como reglas que nos protegen;#¿NOMBRE?;Significa estar consiente de ti mismo.
12.0;Son Valores;Ninguno ;-
10.0;-;-;-
12.0;para protegerme de algo;al diferentes como a la mama adolecentes y otros;tener Derechos Humanos
17.0;"Son nuestros ""privilegios"" como personas";Derecho a una educacion y derecho a 3 comidas al día ;Tal vez ser un ser vivo pensante que razona 
15.0;son los derechos que nos corresponden. ;ala educación, jugar, etc.;es una persona, en lo que tu vales.
16.0;Algo a lo que todos tenemos un privilegio;Creo los basicos,  derecho a la educacion, vivienda, salud, etc.;Un ser con razón 
8.0;Los derechos nos dejan hacer cosas como alimentarnos;Jugar y tener una vivienda;Para vivir y tener una familia
8.0;que tienen derecho a comer;Jugar y ama y a una familia;Para poder vivir
14.0;Son las cosas que podemos hacer;Salud, escuela, casa;Que eres algo
9.0;Los derechos que tenemos todos los humanos;Derecho de vida, respeto y valor;No se
11.0;Derecho que tenemos todos los seres humanos;No se;No se
9.0;Cuidarte;No se;.
8.0;Todos los derechos humanos;La igualda de genero;No se
14.0;Algo que tenemos todas las personas;Derecho a la salud, educación, identidad, expresión;Ser alguien con derechos, identidad
9.0;No se;Ninguno;Muy bien
16.0;Son tener libertad y felicidad;Al estudiar en la escuela;Significa poder sentir y ser feliz
14.0;Establecer el orden de todos;Humanos;que nadie eres de el y que nadie te trate mal
12.0;Los derechos de las personas;.;Vivir
11.0;a aser lo que queramos;jugar;no se
12.0;un derecho;aser lo que nosotros queramos ;una vida más para el planeta
17.0;son leyes que nos permiten vivir con libertad;libertad de expreción y educación ;no se
8.0;no sé;no sé;no sé
10.0;Higualdad;nace;-
11.0;el rresteto;nace;nose
10.0;Higualdad;Cenoaiga violensia;-
14.0;pues son todas las leyes que protegen a cada uno;derecho a la libertad y igualdad;ser un humano
13.0;son leyes que protegen a cada ser vivo;derechos a los niños;que tienes derechos
13.0;Son como lo que  quieres y lo que eres;Tengo derecho a tener respeto;qué tengo que respetar y que me respeten
8.0;;;
12.0;son leyes que tenemos al nacer y nos protejen;salud, educación, comida, etc... ;tener derechos y livertad
8.0;son leies que todos tenemos;salud evaluasion;ser un humano
;;;
13.0;Los derechos humanos son muy importante para nuestra vida.;15 derechos;es un ser humano que tiene defectos
15.0;es todo lo que podemos aser y a lo que tenemos acceso;la igualdad de jenero;un ser humano que tiene derecho a muchas cosas
11.0;no matrotar las personas;los derechos;-
10.0;no se;no se;no se
9.0;no se;no se;
13.0;no se;no se;Que me baloren
9.0;lo que podemos aser;el derecho de jugar;que tiene que atuar
10.0;Nose;ninguno;tener derechos
13.0;NOSE;OBE DE CER A  MI MAMA;ESR UNA PER SONA AMAVELE YESRA MABLES CON MIS ERMANOS Y MIA MIGOS Y CONLOS MAESTROS Y COMIS GUELOSY A O TRAS PERSONA QUESOMIAMIGOS
12.0;NOSE;NOSEME  OCURE  NADA;NOSE
